SDSS_id;SN_type;IAUC_id;Ra;Dec;redshift;Peak_MJD
SN5;SNIa;2004hz;2:5:3.00;+0:50:11.9;0.1426704;53281.6
SN9;SNII;2004hv;23:48:25.95;+1:3:50.3;;53277
SN10;SNIa;2004hw;23:51:17.34;+1:13:39.4;0.0599379;53233
SN12;SNII;2004hy;21:6:4.25;+1:12:57.0;0.0580526;53270
SN13;;;0:33:29.98;+0:45:11.5;0.0598764;53270
SN15;SNIa;2004hu;1:15:2.44;+0:15:42.9;0.047806;53254
SN17;;;0:46:5.56;-0:33:48.0;;53254
SN18;SNII;2004hx;2:41:12.60;-0:52:46.0;0.0381235;53275
SN19;SNIa;2004id;0:6:29.63;-0:28:22.4;0.1506;53294.7
SN20;SNIb;2004ib;2:40:56.40;-0:10:48.3;;53290
SN21;;;2:31:28.49;-0:12:34.7;;53290
SN23;;;3:24:30.68;+0:38:29.0;;53290
SN24;SNII;2004ht;1:4:48.67;-0:53:45.5;0.0648771;53283
SN25;SNIa;2004if;22:39:8.53;-0:51:54.7;;53284.4
SN30;SNIa;2004ia;2:18:2.30;-0:33:32.4;0.1437062;53284.7
SN36;;;23:56:15.66;+0:20:9.0;0.0737414;53284.7
SN40;;;1:54:22.51;+0:41:2.3;;53284.7
SN42;;;1:41:18.09;+0:50:24.4;;53284.7
SN43;;;1:31:30.62;+0:39:51.3;0.1613438;53284.7
SN45;;;1:9:45.07;-0:35:44.5;0.1951614;53284.7
SN50;;;1:14:37.47;+0:39:4.4;0.3553262;53284.7
SN56;;;1:0:13.85;-1:1:37.6;0.1399249;53284.7
SN59;;;0:1:47.15;-0:54:24.8;;53284.7
SN60;;;23:0:27.47;+0:40:32.7;0.24617;53284.7
SN61;;;22:23:22.44;+0:46:19.1;0.2208109;53284.7
SN63;;;22:53:31.39;+0:48:25.3;0.0724548;53284.7
SN64;;;21:24:50.98;+0:12:59.0;;53284.7
SN68;;;21:45:31.21;-0:32:21.7;;53284.7
SN71;;;21:54:57.53;+0:50:40.7;0.2176657;53284.7
SN83;SNIa;2004ie;22:1:46.58;+1:14:12.0;0.051336;53295
SN85;;;22:52:55.78;+0:37:47.0;;53295
SN87;;;22:46:8.58;-0:9:38.9;;53295
SN111;SNII;2004ic;20:40:48.05;+1:2:34.0;0.0933726;53287
SN123;;;1:39:39.55;-0:36:28.6;0.214;53287
SN128;SNIa;2004ih;2:15:54.31;+1:4:10.0;;53303.7
SN133;SNIa;2004ig;0:5:51.79;-0:59:45.1;0.1830107;53306.7
SN138;;;0:18:15.76;+0:16:32.3;0.5761149;53306.7
SN139;;;1:2:39.79;+1:4:17.3;;53306.7
SN140;;;3:14:18.40;+1:9:0.3;;53306.7
SN141;;;1:41:27.05;+1:4:33.9;;53306.7
SN157;;;23:23:37.16;+0:25:22.9;0.0800726;53306.7
SN166;;;1:30:38.78;+0:45:54.1;0.0802023;53306.7
SN171;SNIa;2004io;21:23:37.39;-0:28:0.6;;53319.7
SN172;SNIa;2004ii;0:16:51.80;-0:24:56.9;;53311.6
SN176;SNIa;2004im;23:43:7.78;-0:7:55.5;0.1361;53318.6
SN191;SNIa;2004il;3:7:2.70;-0:0:40.2;0.1071866;53316.9
SN194;SNIa;2004in;1:30:26.06;+0:41:32.4;0.1604386;53317.6
SN198;;;23:44:12.82;-0:29:21.7;;53317.6
SN223;;;22:36:23.74;+0:14:11.7;;53317.6
SN233;;;1:38:35.81;+0:12:26.3;0.1249921;53317.6
SN236;;;1:46:32.30;+0:15:57.2;0.4087361;53317.6
SN240;;;1:57:47.64;-0:29:50.3;0.0802687;53317.6
SN242;SNIa;2004ik;1:44:55.51;-0:5:58.2;;53327.8
SN246;;;2:11:57.30;-0:3:26.7;;53327.8
SN247;SNIa;2004ij;1:21:11.54;-0:55:9.3;;53323.8
SN700;;;22:22:19.06;-0:31:8.4;0.5965593;53323.8
SN702;;;22:26:6.17;-0:32:32.5;0.5783793;53323.8
SN952;;;0:15:0.02;+0:19:8.8;0.4614953;53323.8
SN948;;;3:38:59.83;-0:34:52.5;1.299859;53323.8
SN933;;;1:58:5.12;-0:37:44.3;0.5848775;53323.8
SN708;;;22:40:28.35;+0:46:49.3;0.2140757;53323.8
SN719;;;23:37:3.71;+0:38:12.8;0.4855112;53323.8
SN722;SNIa;2005ed;0:2:49.37;+0:45:4.4;0.0865249;53608
SN730;;;0:21:41.01;+0:38:41.8;0.3083147;53608
SN734;;;0:26:14.28;-0:59:20.8;0.3729235;53608
SN739;SNIa;2005ef;0:58:22.88;+0:40:44.6;0.1076631;53606.9
SN744;SNIa;2005ei;21:56:47.64;+0:19:3.0;0.1278;53608.5
SN762;SNIa;2005eg;1:2:8.48;-0:52:44.3;0.1913979;53622.4
SN768;;;1:21:59.80;-1:2:24.3;0.0543542;53622.4
SN774;SNIa;2005ex;1:41:51.23;-0:52:35.0;0.0934891;53608
SN800;;;3:11:58.71;+0:48:47.9;0.4389109;53608
SN835;;;23:0:7.26;+0:17:39.5;0.2649384;53608
SN853;;;23:39:34.73;-0:29:19.5;0.3564497;53608
SN870;;;22:11:10.99;-0:9:53.2;0.6667835;53608
SN873;;;22:31:22.93;-0:6:18.3;0.5499141;53608
SN976;;;22:6:32.23;+1:10:54.3;0.5148743;53608
SN1032;SNIa;2005ez;3:7:10.97;+1:7:10.4;0.1297552;53624.2
SN1033;;;3:10:45.09;+1:6:30.5;2.043319;53624.2
SN1040;;;3:17:15.79;+1:3:59.0;0.2973899;53624.2
SN1472;SNII;2005lc;3:2:11.18;-1:9:59.5;0.0136066;53623
SN1112;SNIa;2005fg;22:36:4.23;-0:22:30.7;0.2576352;53627.2
SN1114;SNII;2005lb;22:54:50.05;-0:15:9.0;0.0245;53618
SN1119;SNIa;2005fc;21:21:39.25;+0:53:40.8;0.2974;53623.5
SN1135;;;0:29:47.82;-0:22:58.6;0.2286124;53623.5
SN1138;;;22:35:49.58;+0:56:38.0;0.3365114;53623.5
SN1155;;;0:7:50.50;+0:58:15.2;0.3452416;53623.5
SN1162;;;1:19:35.29;-0:20:33.5;0.8575295;53623.5
SN1166;SNIa;;0:37:25.36;+0:58:23.8;0.3824;53628.1
SN1179;;;1:12:40.52;+0:54:28.2;0.236406;53628.1
SN1189;;;1:51:0.77;+0:56:34.9;0.4914913;53628.1
SN1193;;;2:12:47.97;-0:22:56.7;0.4236628;53628.1
SN1204;;;2:12:19.54;+0:58:40.9;0.4559935;53628.1
SN1213;;;2:39:16.85;+0:51:53.9;0.5376862;53628.1
SN1241;SNIa;2005ff;22:30:41.41;-0:46:35.7;0.0902;53635
SN1253;SNIa;2005fd;21:35:11.77;+0:9:47.1;0.262;53630.1
SN1271;;;21:49:15.32;+0:3:4.4;0.5404508;53630.1
SN1278;;;21:59:49.01;+0:10:4.8;0.2716729;53630.1
SN1284;;;22:2:25.39;+0:9:2.6;0.578189;53630.1
SN1288;;;21:35:42.14;+0:33:7.2;0.1199073;53630.1
SN1294;;;21:45:18.38;+0:34:23.1;0.20665;53630.1
SN1297;;;21:46:50.96;+0:32:34.0;0.3352209;53630.1
SN1316;SNIa;2005fe;22:19:27.32;+0:29:40.0;0.2166;53618.5
SN1334;;;22:50:36.73;+0:7:59.7;0.4313643;53618.5
SN1371;SNIa;2005fh;23:17:29.72;+0:25:45.8;0.1190857;53632.8
SN1373;;;23:22:5.45;+0:27:26.3;0.3474773;53632.8
SN1375;;;0:23:27.68;+0:9:57.0;0.5336919;53632.8
SN1386;;;0:37:23.49;+0:8:12.7;0.2517278;53632.8
SN1408;;;0:12:7.47;+0:27:7.2;0.4138195;53632.8
SN1414;;;0:23:11.05;+0:35:17.7;0.4223163;53632.8
SN1418;;;0:28:39.77;+0:35:42.5;0.6864961;53632.8
SN1428;;;1:21:28.08;+0:34:50.6;0.328558;53632.8
SN1437;;;2:3:37.12;+0:30:59.5;0.5105293;53632.8
SN1508;;;2:43:22.61;+0:10:44.1;0.3735302;53632.8
SN1543;;;0:55:15.79;-0:49:52.7;0.4591559;53632.8
SN1552;;;1:35:27.84;-0:44:47.9;0.0803266;53632.8
SN1568;;;2:14:34.78;-0:42:42.5;0.4367899;53632.8
SN1573;;;2:33:57.57;-0:40:2.9;0.4931247;53632.8
SN1574;;;2:37:33.50;-0:42:29.3;0.6017854;53632.8
SN1575;;;2:45:38.30;-0:47:5.4;0.4884185;53632.8
SN1580;SNIa;2005fb;3:1:17.54;-0:38:38.6;0.184;53632.7
SN1610;;;22:9:9.76;-0:27:21.2;0.539073;53632.7
SN1632;SNII;;21:30:54.23;-0:8:2.2;0.0575242;53627
SN1673;;;21:59:20.98;-1:2:12.3;0.3585576;53627
SN1677;;;22:15:12.14;-0:51:52.4;0.5194281;53627
SN1686;SNIa?(SP);;0:8:59.60;-0:12:37.3;0.1364;53630.4
SN1688;SNIa;;21:25:25.86;+0:19:28.4;0.3587;53626.5
SN1713;;;20:49:36.47;+0:50:4.8;0.4751897;53626.5
SN1760;;;21:38:9.98;+0:21:30.7;0.3939839;53626.5
SN1761;;;0:2:36.24;-0:27:24.7;0.2913462;53626.5
SN1785;;;20:58:17.10;-0:34:10.0;0.4508421;53626.5
SN1787;;;21:1:15.00;-0:31:50.6;0.5197487;53626.5
SN1794;SNIa;2005fj;21:11:20.84;-0:26:43.2;0.1426;53621.7
SN1909;;;20:48:26.80;+0:57:37.8;0.4850703;53621.7
SN1987;;;22:25:32.86;+0:57:14.9;0.6254623;53621.7
SN1992;;;22:40:10.72;+0:54:9.4;0.3774505;53621.7
SN2000;SNIb;2005hl;20:55:19.79;+0:32:34.8;0.0231815;53632
SN2017;SNIa;2005fo;21:55:46.40;+0:35:36.7;0.2616;53633
SN2030;SNIa;2005fl;20:47:21.98;-1:15:11.8;0.2336;53611.8
SN2031;SNIa;2005fm;20:48:10.37;-1:10:17.1;0.153;53634.9
SN2049;;;21:41:2.31;-1:8:51.0;0.6241447;53634.9
SN2053;SNIc;2005fk;21:15:19.84;-0:22:58.6;0.2643;53630
SN2102;SNIa;2005fn;20:48:53.03;+0:11:28.1;0.0951;53620
SN2125;;;22:23:2.72;+0:4:37.8;0.2988878;53620
SN2146;;;1:2:33.62;-0:29:3.2;0.3659261;53620
SN2165;SNIa;2005fr;1:8:22.02;-0:5:46.5;0.288;53629.8
SN2223;;;3:41:31.93;-0:9:33.1;0.2230643;53629.8
SN2243;;;2:39:13.59;-0:51:22.3;0.5914314;53629.8
SN2246;SNIa;2005fy;3:20:21.70;-0:53:8.1;0.1949;53625.9
SN2249;;;1:22:6.66;-0:30:43.7;0.2167217;53625.9
SN2299;;;1:32:1.09;+0:23:24.7;0.5341222;53625.9
SN2301;;;1:40:40.71;+0:17:58.3;0.4047664;53625.9
SN2308;SNIa;2005ey;2:17:5.49;+0:16:49.1;0.148;53627.8
SN2311;;;2:33:8.99;+0:15:46.8;0.2891444;53627.8
SN2330;SNIa;2005fp;0:27:13.71;+1:7:14.2;0.2132;53632.8
SN2364;;;0:39:1.45;-0:35:44.3;0.8534667;53632.8
SN2366;SNII;2005fq;0:53:44.04;-0:33:36.8;0.1454;53627
SN2371;;;2:39:58.51;-0:31:49.3;0.0516669;53627
SN2372;SNIa;2005ft;2:42:4.97;-0:32:27.1;0.1805;53635.7
SN2422;SNIa;2005fi;0:7:58.69;+0:38:17.5;0.265;53637.2
SN2440;SNIa;2005fu;2:50:32.10;+0:48:28.1;0.193;53632.3
SN2482;;;20:48:44.21;-0:47:21.4;0.4657151;53632.3
SN2503;;;21:58:47.39;-0:44:9.0;0.5893483;53632.3
SN2533;SNIa;2005fs;2:4:52.97;-0:19:35.3;0.34;53634.9
SN2561;SNIa;2005fv;3:5:22.42;+0:51:30.1;0.1181294;53637.9
SN2578;;;23:9:40.41;-0:48:20.4;0.2473086;53637.9
SN2610;;;3:34:53.96;+0:35:11.8;0.4283462;53637.9
SN2633;;;3:8:25.19;-1:9:14.9;0.1089716;53637.9
SN2635;SNIa;2005fw;3:30:49.03;-1:14:17.1;0.1437;53638.7
SN2661;SNII;;23:32:49.80;+0:5:50.0;0.1925;53632.5
SN2689;SNIa;2005fa;1:39:36.07;-0:45:31.4;0.1614894;53634.8
SN2700;;;0:41:58.54;+0:3:10.4;0.5107588;53634.8
SN2707;;;0:51:28.91;+0:8:53.0;0.8209925;53634.8
SN2744;SNIb;2005hm;21:39:0.64;-1:1:38.6;0.035;53645
SN2775;;;3:35:2.21;-0:56:38.1;0.1931237;53645
SN2789;SNIa;2005fx;22:56:48.35;+0:24:4.0;0.2903;53631.8
SN2849;;;0:23:9.34;-0:19:5.1;0.7662417;53631.8
SN2875;;;0:45:15.45;-1:13:17.7;1.596473;53631.8
SN2907;;;2:25:34.76;-1:15:25.8;0.3653975;53631.8
SN2908;;;2:27:21.25;-1:4:45.8;0.618252;53631.8
SN2916;SNIa;2005fz;21:3:41.21;+0:34:10.4;0.1242;53642
SN2943;SNIa;2005go;1:10:49.19;+1:0:28.6;0.2654;53639
SN2955;;;1:30:15.10;+0:25:57.3;0.3364525;53639
SN2992;SNIa;2005gp;3:41:59.29;-0:46:57.6;0.1266043;53638.9
SN3044;;;21:10:35.51;+0:22:55.5;0.4443361;53638.9
SN3080;SNIa;2005ga;1:7:43.76;-1:2:22.2;0.175;53645.9
SN3087;SNIa;2005gc;1:21:37.61;-0:58:38.0;0.1656;53647.7
SN3134;;;21:29:16.55;-0:50:32.0;0.3734351;53647.7
SN3157;;;21:46:35.03;-0:50:44.8;0.4935758;53647.7
SN3183;;;22:39:53.66;-0:41:12.1;0.6196988;53647.7
SN3199;SNIa;2005gs;22:13:10.25;+1:3:1.9;0.2511;53644.1
SN3212;;;22:49:33.06;+1:4:55.9;0.2644238;53644.1
SN3241;SNIa?(SP);2005gh;20:50:36.35;-0:21:14.7;0.2590819;53644.2
SN3256;SNIa;2005hn;21:57:4.25;-0:13:24.6;0.1076;53650.9
SN3295;;;2:44:27.11;+0:22:50.8;0.697616;53650.9
SN3310;;;1:33:52.62;+1:13:45.4;0.3079673;53650.9
SN3317;SNIa;2005gd;1:47:51.03;+0:38:26.2;0.1611;53645.8
SN3320;;;1:57:17.73;+0:41:8.5;0.389182;53645.8
SN3327;;;2:8:12.64;+0:41:55.9;0.6940545;53645.8
SN3331;SNIa?(SP);2005ge;2:18:14.73;+0:47:47.6;0.2134;53646.4
SN3367;;;20:47:50.44;+0:26:7.0;0.6163294;53646.4
SN3377;SNIa;2005gr;3:36:37.48;+1:4:45.0;0.2451;53642.1
SN3407;;;20:44:59.91;+0:55:40.7;0.3099604;53642.1
SN3418;;;23:27:43.72;+0:28:37.1;0.5229698;53642.1
SN3444;;;21:54:25.63;+0:43:15.8;0.3787101;53642.1
SN3451;SNIa;2005gf;22:16:16.62;+0:42:29.3;0.25;53642.3
SN3452;SNIa;2005gg;22:18:41.16;+0:38:21.1;0.2304;53645.3
SN3519;;;23:46:48.39;-1:1:16.3;0.4242512;53645.3
SN3521;;;0:16:5.95;-1:2:7.0;0.4162504;53645.3
SN3542;;;3:36:51.52;-0:10:24.6;0.1868559;53645.3
SN3592;SNIa;2005gb;1:16:12.58;+0:47:31.0;0.0864215;53645
SN3601;;;22:17:15.71;+0:56:30.4;0.3202188;53645
SN3720;;;0:15:41.45;-0:47:24.1;0.1534552;53645
SN3771;;;0:13:46.52;+0:34:3.2;0.2739586;53645
SN3779;;;0:21:27.56;+0:35:32.4;0.3266808;53645
SN3818;SNII;2005gi;0:55:52.68;+0:30:17.8;0.0505336;53642
SN3850;;;23:26:12.05;+0:3:23.3;0.3464867;53642
SN3894;;;0:46:16.68;+0:2:49.2;0.4530999;53642
SN3901;SNIa;2005ho;0:59:24.10;+0:0:9.3;0.0628244;53657
SN3910;;;1:14:29.59;+0:0:36.9;0.3893454;53657
SN3949;;;2:39:57.04;+0:32:42.9;0.216485;53657
SN3998;;;1:53:11.59;-0:22:41.3;0.4461282;53657
SN4000;SNIa;2005gt;2:4:3.84;-0:21:57.0;0.2786;53635.8
SN4012;SNIc;;3:13:47.74;-0:14:37.0;0.0252;53646
SN4046;SNIa;2005gw;23:37:59.60;+0:38:31.6;0.277;53643.1
SN4064;SNIa?(SP);;3:4:26.33;+1:2:47.1;0.156453;53646.8
SN4089;;;3:10:59.52;+0:46:51.9;0.4112672;53646.8
SN4111;;;22:39:59.04;+0:51:38.4;0.3839968;53646.8
SN4144;;;1:17:20.55;-1:3:37.8;1.008594;53646.8
SN4207;;;23:42:5.73;-0:36:33.6;0.7227208;53646.8
SN4241;SNIa;2005gu;0:48:57.05;-0:54:20.7;0.332;53634.9
SN4258;;;23:26:27.21;+0:55:18.8;1.58385;53634.9
SN4321;;;3:34:31.31;+0:51:21.6;0.4293435;53634.9
SN4350;;;0:46:30.38;+0:52:31.9;0.5014147;53634.9
SN4356;;;0:20:30.31;-0:32:59.9;0.3723988;53634.9
SN4488;;;1:57:52.42;-0:36:53.5;0.1898351;53634.9
SN4524;SNIa;2005gj;3:1:11.95;-0:33:13.9;0.0616;53658
SN4538;;;3:32:1.83;-0:36:53.3;0.4056893;53658
SN4541;;;3:41:11.57;-0:31:19.4;0.478954;53658
SN4564;;;2:2:23.62;+0:18:56.1;0.366476;53658
SN4577;SNIa;2005gv;2:33:54.13;+0:16:50.6;0.363;53642.8
SN4623;;;2:29:16.43;+0:26:58.7;0.3328887;53642.8
SN4641;;;1:58:51.37;-0:49:9.7;2.850322;53642.8
SN4679;SNIa;2005gy;1:26:6.80;+0:40:36.7;0.3324;53648.9
SN4701;;;1:37:28.36;-0:17:27.2;0.6210372;53648.9
SN4709;;;1:58:45.79;-0:21:38.4;0.5648183;53648.9
SN4991;;;23:6:54.96;+0:47:15.7;0.4467128;53648.9
SN5007;;;23:23:29.14;+0:45:48.5;0.4522373;53648.9
SN5018;;;23:38:53.82;+0:48:12.6;0.1699834;53648.9
SN5103;SNIa;2005gx;23:59:32.27;+0:44:13.8;0.1619;53653.9
SN5183;SNIa;2005gq;3:33:48.97;+0:42:33.7;0.3898;53647.1
SN5244;;;22:53:38.77;+0:41:9.1;0.6371264;53647.1
SN5261;;;2:9:29.83;-0:56:2.8;0.4272004;53647.1
SN5329;;;3:32:16.76;+0:30:29.8;0.4223221;53647.1
SN5350;SNIa;2005hp;20:28:52.60;-0:46:45.2;0.1754;53656.9
SN5391;SNIa;2005hs;3:29:22.08;-1:5:40.9;0.3009;53656.2
SN5393;;;2:3:51.49;+0:10:51.3;-0.0033195;53656.2
SN5395;SNIa;2005hr;3:18:33.83;+0:7:24.0;0.117;53662.8
SN5477;;;3:2:48.78;+0:21:31.7;0.1068852;53662.8
SN6100;SNIa;2005ka;22:13:55.95;+1:5:11.4;0.3177;53660.9
SN5490;;;22:5:9.51;-0:48:20.4;0.0980735;53660.9
SN5512;;;22:13:11.04;+0:7:24.7;0.408751;53660.9
SN5533;SNIa;2005hu;21:54:40.79;+0:24:48.3;0.2197;53663.5
SN5544;;;23:47:47.44;+0:13:37.1;0.4290373;53663.5
SN5549;SNIa;2005hx;0:13:0.13;+0:14:53.6;0.121;53664.8
SN5550;SNIa;2005hy;0:14:23.59;+0:19:59.0;0.1561;53669.8
SN5582;;;22:25:15.32;+1:3:40.6;0.6082374;53669.8
SN5588;SNIa;2005hw;0:9:28.47;+1:9:17.8;0.4102;53658.7
SN5635;SNIa;2005hv;22:12:43.86;-0:2:5.7;0.1795;53660.9
SN5668;;;23:12:0.50;-0:36:17.3;0.4369676;53660.9
SN5717;SNIa;2005ia;1:11:35.03;-0:0:21.2;0.2517;53661.1
SN5736;SNIa;2005jz;1:31:27.06;-0:37:53.8;0.253;53662.4
SN5737;SNIa;2005ib;1:31:25.69;-0:36:12.2;0.393;53660.1
SN5751;SNIa;2005hz;0:46:32.20;+0:50:17.6;0.1308;53663.6
SN5757;;;20:20:33.65;+0:11:33.3;0.1751;53663.6
SN5793;;;21:58:41.93;-1:15:0.3;0.3573346;53663.6
SN5796;;;22:21:32.42;-1:9:28.6;0.2879867;53663.6
SN5801;;;22:40:28.85;-1:6:49.8;0.1270045;53663.6
SN5821;SNIa?(SP);2005hq;20:50:19.78;-0:49:31.0;0.4008;53653.2
SN5844;SNIa;2005ic;21:51:8.69;-0:50:34.6;0.3108;53657.4
SN5866;;;1:46:44.83;-0:40:43.0;0.0823668;53657.4
SN5886;;;2:21:46.36;-0:45:11.8;0.3569324;53657.4
SN5916;SNIa?(SP);2005is;0:21:44.97;-0:19:30.0;0.1746;53660.7
SN5923;;;1:40:9.89;-1:9:5.0;0.4703578;53660.7
SN5935;;;1:42:59.93;-0:23:54.8;0.6308047;53660.7
SN5937;;;1:49:53.24;-0:25:29.9;0.668231;53660.7
SN5944;SNIa;2005hc;1:56:47.95;-0:12:49.4;0.0458902;53667
SN5946;;;2:33:35.38;-1:7:44.5;0.3675045;53667
SN5957;SNIa;2005ie;2:19:2.54;-0:16:22.2;0.2796;53662.8
SN5966;SNIa;2005it;1:4:45.69;+0:30:50.1;0.3096869;53653.5
SN5969;;;1:33:35.70;+0:32:33.2;0.3431664;53653.5
SN5990;;;22:10:3.68;-0:50:54.7;0.3881376;53653.5
SN5991;;;1:41:50.60;+0:7:54.4;1.342481;53653.5
SN5994;SNIa;2005ht;20:50:24.61;-0:10:4.4;0.187;53662.2
SN6057;SNIa;2005if;3:30:12.86;-0:58:28.5;0.0670718;53662
SN6077;;;3:45:28.92;-0:44:29.4;0.7135442;53662
SN6108;SNIa;2005ih;0:7:13.58;+0:20:56.3;0.2595;53673
SN6127;SNIa;2005iw;22:29:17.76;-0:5:32.5;0.28;53664.5
SN6137;SNIa;2005iv;20:31:44.67;+0:14:41.1;0.3001;53665.2
SN6146;;;21:28:43.43;+0:24:35.9;0.3464854;53665.2
SN6192;SNIa;2005jy;23:13:51.60;+1:15:25.2;0.272;53669.5
SN6196;SNIa;2005ig;22:30:31.48;-0:30:9.6;0.2807;53664.3
SN6212;;;22:2:28.64;+0:49:2.1;1.448146;53664.3
SN6249;SNIa;2005ii;0:13:3.73;-0:37:12.4;0.2944;53670.7
SN6270;;;2:24:48.84;-0:46:38.8;2.187937;53670.7
SN6272;;;2:40:52.83;-0:41:10.8;0.2468748;53670.7
SN6273;;;3:0:44.43;-0:38:20.4;0.5990342;53670.7
SN6281;;;20:52:12.29;-0:26:45.1;0.2673957;53670.7
SN6295;SNIa;2005js;1:34:41.51;-0:36:19.4;0.0795632;53664.7
SN6304;SNIa;2005jk;1:45:59.43;+1:11:45.4;0.1908;53671.7
SN6315;SNIa;2005ix;20:41:55.88;+1:5:31.2;0.267;53674.2
SN6321;;;2:36:35.19;+0:54:12.7;0.4982491;53674.2
SN6406;SNIa;2005ij;3:4:21.27;-1:3:46.7;0.1244884;53672.8
SN6422;SNIa;2005id;23:16:33.31;-0:39:47.6;0.184;53665.4
SN6471;SNII;;20:37:32.67;+0:29:41.8;0.2016;53664.6
SN10805;SNIa;2005ku;22:59:42.61;-0:0:49.4;0.0454156;53698
SN6500;;;20:57:52.48;+0:6:35.8;1.132479;53698
SN6558;;2005hj;1:26:48.40;-1:14:17.3;0.0574186;53698
SN6649;SNIa;2005jd;2:17:6.21;+0:32:5.4;0.314;53673.9
SN6685;;;21:51:30.37;+0:35:22.4;0.3400219;53673.9
SN6696;SNIa?(SP);;22:36:19.04;+0:28:45.3;0.2379;53668.5
SN6699;SNIa;2005ik;21:31:15.59;-1:3:25.1;0.3106;53671.6
SN6742;;;22:43:22.98;-0:16:58.5;0.2595936;53671.6
SN6773;SNIa;2005iu;20:20:15.60;+0:13:2.4;0.0903;53679
SN6777;SNIa;2005iy;21:24:51.95;+0:23:8.2;0.4043;53657.1
SN6780;SNIa;2005iz;21:52:16.47;+0:16:1.4;0.202;53662.8
SN6852;SNIa?(SP);2005jf;3:33:40.76;-0:6:43.6;0.3006;53671
SN6924;SNIa;2005ja;23:55:52.64;+0:52:37.1;0.328;53667.4
SN6933;SNIa;2005jc;0:45:24.41;+1:4:32.1;0.213;53677.5
SN6936;SNIa;2005jl;21:32:56.11;-0:41:59.2;0.181;53678.6
SN6962;SNIa?(SP);2005je;2:35:26.62;+1:4:29.5;0.0938889;53667.5
SN6968;SNIa?(SP);;1:18:13.37;-0:54:23.6;0.0981373;53686.6
SN6981;;;21:46:13.31;+0:9:30.8;0.6220973;53686.6
SN7017;SNIa;;2:5:27.68;-0:29:52.5;0.269;53676.2
SN7143;SNIa;2005jg;23:1:2.97;-0:12:26.5;0.304;53676.2
SN7147;SNIa;2005jh;23:20:4.43;-0:3:19.6;0.1106;53679
SN7243;SNIa;2005jm;21:52:18.98;+0:28:18.9;0.2037;53683.5
SN7335;SNIa?(SP);2005kn;21:15:32.45;-0:21:19.2;0.1974067;53674.7
SN7426;SNIa?(SP);2005jb;22:36:3.21;-0:22:4.5;0.384;53676.8
SN7460;SNIa?(SP);2005jx;21:34:20.17;-0:40:54.2;0.2103;53671.4
SN7473;SNIa;2005ji;0:17:18.34;-0:15:26.2;0.216;53677.7
SN7475;SNIa;2005jn;0:19:0.83;-0:16:53.4;0.322;53672.2
SN7504;;;1:35:17.55;-0:19:38.9;0.3120564;53672.2
SN7512;SNIa;2005jo;3:28:21.68;-0:19:33.9;0.219;53679.9
SN7532;;;22:37:56.81;-1:13:37.3;0.5415356;53679.9
SN7547;;;20:51:41.55;+0:51:35.6;0.1064095;53679.9
SN7623;;;21:2:0.42;+0:5:2.1;0.3293784;53679.9
SN7661;;;0:42:47.57;+0:58:16.8;0.2574885;53679.9
SN7672;;;2:56:35.07;-1:11:25.1;0.5289181;53679.9
SN7696;;;0:12:20.54;-1:5:17.7;0.500098;53679.9
SN7722;;;1:21:26.81;-1:7:44.6;0.6857275;53679.9
SN7767;;;23:9:46.15;+0:0:49.0;0.351778;53679.9
SN7779;SNIa;2005jw;20:40:19.25;-0:0:25.8;0.3812;53671.1
SN7847;SNIa;2005jp;2:9:50.39;-0:3:42.5;0.2124;53679.8
SN7861;;;2:42:4.77;+0:8:14.6;0.3820389;53679.8
SN7865;;;3:7:45.95;+0:8:33.5;0.4276921;53679.8
SN7876;SNIa;2005ir;1:16:43.80;+0:47:40.7;0.076;53685
SN7922;;;23:5:22.36;+1:4:4.9;0.1822;53685
SN7947;SNIa?(SP);2005jj;20:56:44.66;+0:24:30.1;0.368;53670.9
SN7972;;;2:50:42.90;-0:41:38.8;0.4571024;53670.9
SN8030;SNIa;2005jv;2:40:50.12;+0:59:35.3;0.422;53673.9
