SDSS_id;SN_type;IAUC_id;Ra;Dec;redshift;Peak_MJD
SN16421;SNIa;2006pg;3:27:20.71;+1:5:22.8;0.302;54048.9
SN16442;SNIa;2006oo;21:59:47.23;-0:43:59.6;0.269;54058.1
SN16469;;;0:21:47.52;+0:0:31.0;0.1426986;54058.1
SN16473;SNIa;2006pl;21:54:26.92;+0:35:18.7;0.211;54061.5
SN16482;SNIa;2006pm;21:54:50.28;+0:56:1.2;0.2107713;54057.5
SN16541;SNIa;2006pn;3:49:2.85;-0:31:58.0;0.1316;54066.6
SN16567;SNIa;2006pf;1:41:45.13;-0:11:20.9;0.366;54055.6
SN16578;SNIa;2006po;20:23:15.17;-0:50:54.6;0.1747;54059.7
SN16619;SNIa;2006ps;1:43:45.30;-1:6:42.9;0.1151;54071.6
SN16631;SNIa;2006pv;3:38:29.47;-0:40:32.0;0.216;54057.8
SN16637;SNIa;;0:32:42.24;-0:19:6.4;0.243;54062
SN16641;SNIa;2006pr;1:34:14.70;-0:24:13.1;0.115;54066.9
SN16644;SNIa;2006pt;2:27:16.17;-0:23:36.5;0.2988363;54058.2
SN16667;;;2:36:35.06;+0:51:27.6;0.2068033;54058.2
SN16668;SNII;2006pu;2:42:53.82;+0:53:34.3;0.1518;54064.2
SN16692;SNIa;2006op;21:21:31.87;+0:59:35.9;0.0341191;54070
SN16737;SNIa;2006qc;20:51:19.84;-0:57:8.4;0.2;54069.8
SN16748;SNIa;2006sx;0:31:48.32;-0:30:50.2;0.221;54066.9
SN16754;;;21:24:29.13;+1:6:21.7;0.1346013;54066.9
SN16758;SNIa;2006pw;22:46:26.96;+1:9:2.9;0.316;54055.1
SN16774;SNIa;2006sy;2:21:5.20;+0:49:42.2;0.21;54069.8
SN16776;SNIa;2006qd;23:8:5.14;-0:10:33.9;0.266;54066.1
SN16779;SNIa;2006qa;3:1:9.73;-0:1:34.5;0.4;54032.1
SN16781;SNIa;2006qb;3:28:14.65;-0:12:3.5;0.329;54053.9
SN16787;;;0:16:32.42;+0:14:21.6;3.3328969;54053.9
SN16789;SNIa;2006pz;2:55:8.24;+0:14:5.2;0.3249523;54034.4
SN16793;SNIa;2006qg;21:54:18.09;+0:26:49.2;0.222;54069.9
SN16836;SNIa;2006sw;1:5:0.20;-0:22:28.7;0.331;54066.2
SN16838;SNII;;3:27:46.46;-0:25:12.4;0.15;54069.1
SN16840;SNII;2006qf;3:51:57.24;-0:23:47.7;0.1655141;54066.3
SN16846;;;0:51:28.32;+0:25:15.0;0.2109253;54066.3
SN16847;SNIa;2006px;23:33:17.10;+0:57:40.0;0.279;54065.1
SN16872;SNIa;2006qh;21:47:53.02;+0:42:24.6;0.12;54072.6
SN16925;;;0:18:4.83;-0:51:40.3;0.1936134;54072.6
SN16938;SNIa;2006qe;23:12:19.98;-0:32:3.9;0.393;54055.1
SN16941;SNIa?(SP);2006sz;23:42:52.46;-0:33:22.9;0.194;54057.8
SN16943;;;2:14:47.00;-0:32:50.5;0.3483506;54057.8
SN16956;SNIa;2006qj;20:11:5.61;-0:19:11.9;0.1087;54069
SN16978;;;2:10:34.89;-0:20:52.7;0.1515582;54069
SN16988;SNIb;2006qk;22:25:32.38;+0:9:15.1;0.0583165;54066.9
SN16992;;;23:29:28.87;-1:14:5.6;0.5350135;54066.9
SN16995;;;1:59:45.94;+0:5:21.9;0.3887073;54066.9
SN17048;SNIa;2006qi;1:50:19.56;+0:53:5.6;0.199;54068.7
SN17081;SNIa;2006ql;1:50:9.11;+0:25:13.7;0.272;54055
SN17106;SNIa;2006tc;3:8:1.96;+0:56:36.4;0.19;54073.8
SN17117;SNIa;2006qm;2:42:24.07;-0:47:47.5;0.1401533;54073.2
SN17134;SNIa;;3:38:16.28;-0:6:36.8;0.0869644;54071
SN17135;SNIa;2006rz;3:46:6.78;+0:23:23.1;0.0309035;54082.2
SN17167;SNII;2007mr;20:8:18.00;-0:39:44.8;0.08;54362
SN17168;SNIa;2007ik;22:38:53.71;-1:10:1.5;0.184;54354.6
SN17171;SNIa;2007id;21:46:0.49;-1:13:3.8;0.160273;54340.8
SN17174;;2007fr;21:37:8.73;+0:26:13.6;0.05;54340.8
SN17176;SNIa;2007ie;22:17:36.68;+0:36:48.0;0.0933637;54331
SN17186;SNIa;2007hx;2:6:27.08;-0:53:58.4;0.0794432;54353
SN17200;SNII;2007ja;23:30:5.49;+0:43:32.3;0.0846902;54354
SN17204;SNII;2007hw;2:3:35.16;+0:47:10.3;0.0619522;54358
SN17208;SNIa;2007ic;0:5:57.98;+1:6:11.1;0.14;54338.6
SN17215;SNIa;2007hy;3:39:42.33;+1:5:32.3;0.1813641;54346.2
SN17218;SNIa;2007jp;23:44:41.24;-0:1:48.2;0.179;54345.6
SN17220;SNIa;2007ji;0:38:48.37;-0:10:45.3;0.172;54353
SN17223;SNIa;2007jj;1:45:26.73;-0:1:9.9;0.235;54342.9
SN17236;SNII;;2:45:43.16;-0:32:18.2;0.0427562;54308
SN17240;;2007ht;0:34:33.83;-1:13:3.3;0.0727533;54308
SN17244;SNII;2007ib;23:15:44.56;+0:27:25.6;0.0344563;54339
SN17253;SNIa;2007jq;0:11:58.61;+0:59:53.3;0.156;54339.7
SN17254;SNIa?(SP);2007ii;0:33:34.05;+0:59:5.8;0.263;54349
SN17258;SNIa;2007jr;2:22:57.27;+1:1:32.7;0.091;54339
SN17263;;2007gt;0:16:26.17;-0:21:9.6;0.0600878;54339
SN17274;SNIa;2007ij;23:57:21.96;+0:6:21.1;0.178;54351
SN17280;SNIa;2007ia;3:43:10.06;+0:6:8.9;0.1309778;54345
SN17285;;;3:3:22.80;-0:47:27.0;0.6021296;54345
SN17287;;2007gl;3:11:33.25;-0:44:47.1;0.0281976;54345
SN17332;SNIa;2007jk;2:55:5.63;-0:8:50.7;0.1828572;54355.4
SN17340;SNIa;2007kl;2:44:50.90;+0:21:53.4;0.2570925;54353
SN17344;;;3:4:12.65;+0:21:28.3;0.697909;54353
SN17366;SNIa;2007hz;21:3:8.95;-1:1:45.1;0.1392888;54348.7
SN18415;SNIa;2007la;22:29:54.79;+1:3:31.0;0.1309738;54380.1
SN20829;SNIa;2007qu;22:32:32.81;+0:51:32.7;0.306;54416
SN17497;SNIa;2007jt;2:28:32.78;-1:2:31.6;0.1447343;54363.8
SN17386;SNII;2007jm;21:55:38.58;-0:10:36.3;0.0911472;54346
SN17389;SNIa;2007ih;21:33:10.77;-0:57:36.5;0.172;54351.6
SN17391;SNIa;2007jo;23:10:12.58;-0:55:53.1;0.19;54339.2
SN17415;;;22:11:2.63;+1:7:18.5;0.201533;54339.2
SN17422;SNII;;23:36:7.49;+0:43:41.6;0.141;54350.5
SN17435;SNIa;2007ka;1:21:22.70;-0:0:53.3;0.218;54356.9
SN17460;SNIa;2007km;2:48:20.07;-0:17:17.3;0.247;54344.6
SN17464;SNIa;2007jb;0:26:33.79;+0:2:31.1;0.247;54353
SN17475;;;22:5:1.18;+0:31:23.1;1.651848;54353
SN17476;;;23:51:44.93;+1:1:5.1;0.2442743;54353
SN17500;SNIa;2007lf;0:16:45.46;+1:12:3.2;0.0440547;54334.8
SN17517;;;0:23:29.99;+0:23:38.8;0.3345297;54334.8
SN17521;;;2:11:48.27;+0:16:40.2;0.2951024;54334.8
SN17528;SNIa;2007iy;20:41:5.96;-0:25:19.6;0.36;54341.1
SN17531;SNII;2007jn;22:47:31.99;+0:24:52.5;0.052;54324
SN17548;SNIc;2007ms;20:32:18.34;-1:0:53.1;0.039;54322
SN17552;SNIa;2007jl;21:29:16.93;-1:0:11.4;0.25;54355
SN17564;SNII;2007iz;21:17:35.50;+0:18:56.3;0.255;54362
SN17568;SNIa;2007kb;20:52:24.71;+0:16:39.7;0.138;54361
SN17599;;;22:29:17.64;-0:17:31.8;0.4388217;54361
SN17605;SNIa;2007js;20:36:48.66;+0:5:54.4;0.1464299;54347.8
SN17614;;;21:16:49.81;+0:11:0.4;0.3442002;54347.8
SN17627;SNII;2007jf;0:12:22.33;-1:6:19.7;0.0695976;54360
SN17629;SNIa;2007jw;2:2:32.74;-1:5:21.1;0.1369;54368.9
SN17690;;;22:37:25.13;+0:55:12.5;0.4968923;54368.9
SN17745;SNIa;2007ju;0:11:50.46;-0:20:21.1;0.06;54373
SN17752;;;23:59:14.01;-0:20:38.1;0.5214428;54373
SN17766;;;0:41:50.65;+0:7:28.3;0.4562615;54373
SN17775;;;2:41:9.98;-0:22:51.6;0.4470179;54373
SN17784;SNIa;2007jg;3:29:50.81;+0:3:24.6;0.037069;54367
SN17790;SNIa;2007jx;20:2:32.82;+0:22:18.0;0.178;54351.7
SN17791;SNIa;2007kp;22:9:29.59;+0:44:16.4;0.279;54366.1
SN17800;SNII;2007kn;20:48:9.42;-1:0:55.4;0.217;54333.6
SN17801;SNIa;2007ko;21:4:22.37;-0:53:52.9;0.2064;54362.7
SN17809;SNIa;2007kr;0:25:27.50;-0:50:22.5;0.282;54366
SN17811;SNIa;2007ix;0:51:30.88;-0:56:50.6;0.2;54352.1
SN17817;;;23:59:19.14;-0:31:21.0;3.2199149;54352.1
SN17825;SNIa;2007je;2:11:47.31;-0:54:44.7;0.161;54365.9
SN17830;;;3:32:19.87;-0:53:10.8;0.5030639;54365.9
SN17862;SNII;2007nr;1:1:59.47;+0:40:54.9;0.1444;54351.1
SN17863;;;1:23:54.18;-0:34:49.4;0.4321582;54351.1
SN17875;SNIa;2007jz;1:23:56.01;+1:15:18.0;0.212;54359.8
SN17880;SNIa;2007jd;2:59:53.37;+1:9:38.5;0.0726729;54363
SN17884;SNIa;2007kt;1:50:23.96;+1:10:19.5;0.239;54365.8
SN17886;SNIa;2007jh;3:36:1.54;+1:6:12.1;0.0407438;54365
SN20040;SNIa;2007rf;21:55:31.07;+0:48:54.3;0.285;54409.1
SN17944;;;1:34:53.20;-0:18:42.3;0.3036496;54409.1
SN18030;SNIa;2007kq;0:19:43.91;-0:24:0.5;0.1564134;54371.8
SN18045;;;1:22:2.98;-0:44:50.3;0.2093651;54371.8
SN18408;SNII;2007lj;21:28:41.93;-0:4:2.2;0.053;54379
SN18065;;;3:27:47.87;+0:53:47.5;0.4874607;54379
SN18091;SNIa;2007ku;1:33:28.21;+0:31:28.9;0.3715;54368.2
SN18109;SNII;2007kw;2:10:16.83;-0:15:57.1;0.0680814;54376
SN18184;;;2:16:52.46;-0:23:35.2;0.3045946;54376
SN18186;;;2:28:9.78;-0:15:25.7;0.5031167;54376
SN18241;SNIa;2007ks;20:49:33.06;-0:45:42.2;0.095;54373
SN18248;;;22:34:5.89;+1:13:33.4;1.64349;54373
SN18249;;;22:26:18.90;+0:21:39.0;0.7770858;54373
SN18264;;;3:12:57.27;-1:1:55.5;0.4842854;54373
SN18297;SNII;2007ky;1:6:11.53;-0:36:50.9;0.0736326;54376
SN18298;SNIa;2007li;1:13:4.02;-0:32:24.0;0.1198154;54374
SN18299;SNII;2007kz;3:36:4.58;-0:12:4.3;0.1274073;54379
SN18319;;;3:45:16.82;+0:46:44.0;0.4980288;54379
SN18321;SNII;;1:55:29.32;+1:9:33.7;0.103;
SN18323;SNIa;2007kx;0:13:42.87;+0:39:7.8;0.155;54374.8
SN18325;SNIa;2007mv;0:35:37.38;+0:22:12.1;0.255;54376.4
SN18375;SNIa;2007lg;0:46:3.94;-0:0:37.4;0.1085;54379.6
SN18441;SNII;2007lb;3:49:9.53;-0:44:9.2;0.038;54384.4
SN18451;SNIa?(SP);2007mt;1:45:56.59;-0:13:3.5;0.388;54372.2
SN18456;SNIa;2007lk;1:57:50.11;-0:23:53.1;0.228;54380.1
SN18457;SNII;2007ll;1:58:40.14;-0:14:56.6;0.0809186;54387
SN18463;SNIa;2007kv;1:10:15.84;+0:28:19.3;0.268;54374
SN18466;SNIa;2007lm;3:13:40.45;+0:37:48.0;0.213;54377.3
SN18485;SNIa;2007nu;3:11:50.19;-0:41:32.7;0.279;54386.1
SN18486;SNIa;2007ln;3:40:43.21;+1:0:11.1;0.246;54387
SN18583;;;20:44:4.52;-1:12:14.5;0.1721199;54387
SN18590;SNII;2007nw;20:47:11.37;-1:15:26.0;0.0572128;54369
SN18596;SNII;2007ld;20:49:29.59;+0:0:14.0;0.023;54385
SN18602;SNIa;2007lo;22:35:56.06;+0:36:33.3;0.135;54391.6
SN18604;SNIa;2007lp;22:43:41.02;+0:25:17.0;0.178;54386.1
SN18612;SNIa;2007lc;0:49:9.10;+0:35:49.0;0.1149284;54381.9
SN18617;SNIa;2007mw;23:3:2.76;+0:50:57.0;0.322;54373.9
SN18643;SNIa;2007lv;23:24:47.97;+0:56:40.4;0.1184631;54386.8
SN18650;SNIa;2007lt;21:53:47.34;+0:0:54.2;0.114;54385.8
SN18697;SNIa;2007ma;0:44:53.75;-0:59:49.4;0.1072617;54381.8
SN18700;SNII;2007md;1:21:56.85;-1:0:47.7;0.0545031;54389
SN18709;SNII;2007nx;0:3:48.36;+0:21:31.3;0.0998373;54364.7
SN18713;SNII;2007lz;0:31:23.21;+0:19:8.0;0.099;54383
SN18714;;;0:31:57.43;+0:18:38.2;0.2206236;54383
SN18721;SNIa;2007mu;0:12:18.56;-0:4:38.3;0.393;54364.1
SN18734;SNII;2007lx;0:11:39.27;-0:28:24.1;0.0579237;54384
SN18740;SNIa;2007mc;1:7:25.28;+1:2:37.5;0.157;54390.8
SN18749;SNIa;2007mb;0:50:11.36;+0:40:31.5;0.188;54381.6
SN18751;SNIa;2007ly;0:22:53.37;+0:46:33.5;0.07102;54370
SN18768;SNIa;2007lh;1:8:52.02;+1:11:52.4;0.198;54376.7
SN18771;SNII;2007oe;0:24:10.34;+0:46:30.2;0.251;
SN18782;SNIa;2007ns;2:37:2.97;-0:51:59.8;0.377;54374.2
SN18787;SNIa;2007mf;1:58:55.14;-1:1:37.5;0.193;54384.7
SN18792;;;2:46:1.24;-0:59:37.0;0.2008788;54384.7
SN18793;SNII;2007og;2:48:20.54;-0:58:10.7;0.204;54391.5
SN18804;SNIa;2007me;1:41:3.75;-0:26:54.4;0.192;54389.8
SN18807;SNIa;2007mg;3:6:33.83;+0:47:35.9;0.177;54387.6
SN18809;SNIa;2007mi;3:23:31.52;+0:39:59.9;0.129;54382
SN18834;SNII;2007ny;1:40:55.52;+0:13:7.8;0.143;54363
SN18835;SNIa;2007mj;3:34:44.44;+0:21:19.8;0.1231858;54390.9
SN18846;;;2:36:54.68;+0:22:42.5;0.4326721;54390.9
SN18855;SNIa;2007mh;3:14:31.76;+0:16:11.3;0.1278315;54383.8
SN20039;SNIa;2007qh;0:39:30.87;+1:1:27.6;0.247;54402.9
SN20088;SNIa;;0:52:49.25;+0:37:53.4;0.2449;54404.3
SN18890;SNIa;2007mm;1:5:46.67;-0:45:31.8;0.0664693;54392
SN18892;SNII;2007nv;0:5:30.34;-1:12:16.4;0.138;54390
SN18903;SNIa?(SP);2007lr;0:49:0.34;-0:19:26.5;0.1562221;54389.7
SN18909;SNIa?(SP);2007lq;0:23:7.86;+0:59:0.4;0.234;54386.8
SN18925;;;3:49:24.70;-1:10:29.5;0.3624671;54386.8
SN18927;SNIa;2007nt;3:6:43.79;-0:45:14.5;0.214;54384.5
SN18940;SNIa;2007sb;0:41:23.75;+0:24:43.0;0.22;54394.7
SN18945;SNIa;2007nd;0:40:18.82;-1:2:14.5;0.27;54387.2
SN18956;;;1:56:27.95;+0:48:25.2;0.2121852;54387.2
SN18959;SNIa?(SP);2007ng;2:25:38.10;+0:42:34.5;0.4013009;54388.2
SN18965;SNIa;2007ne;0:54:2.19;+1:4:8.5;0.206;54392.5
SN18984;SNII;;2:5:36.19;-0:58:53.4;0.1549781;54366.1
SN19002;SNIa;2007nh;2:50:27.69;-0:33:4.2;0.268;54388.5
SN19003;SNIa;2007mp;21:16:35.63;-0:46:11.6;0.0605552;54393
SN19008;SNIa;2007mz;22:7:51.20;-1:4:11.8;0.219;54390.9
SN19023;SNIa;2007ls;20:28:28.07;+0:0:22.5;0.243;54387.3
SN19025;SNIa;2007mx;21:14:10.87;-0:17:46.5;0.406;54374.1
SN19027;SNIa;2007my;21:55:32.20;-0:22:19.2;0.295;54383.1
SN19029;SNIa;2007lu;22:1:34.90;-0:15:24.7;0.316;54384.9
SN19033;SNIa;2007of;21:4:56.27;+0:3:39.6;0.398;54383.7
SN19067;SNIa;2007oq;21:42:30.75;+0:59:4.6;0.355;54382.9
SN19070;SNIa;2007na;22:13:32.79;+0:52:49.8;0.457;54383.9
SN19077;;;23:53:44.02;+0:52:17.1;0.6534827;54383.9
SN19084;;;1:22:54.62;+1:1:6.9;0.1996046;54383.9
SN19087;;;23:8:17.29;-0:21:28.7;0.4632747;54383.9
SN19101;SNIa;2007ml;0:31:53.45;+0:8:17.9;0.187;54392.5
SN19127;;;23:36:6.65;-0:37:37.4;0.2877357;54392.5
SN19128;SNIa;2007lw;23:36:48.91;-0:46:56.0;0.287;54381.9
SN19149;SNIa;2007ni;2:5:50.40;-0:19:54.7;0.196;54395.8
SN19155;SNIa;2007mn;2:5:3.96;+0:10:28.4;0.0768839;54400
SN19160;;;3:42:51.38;+0:4:52.3;0.77122;54400
SN19174;SNIa;2007or;1:42:38.33;+1:1:49.4;0.1647;54392.8
SN19207;SNIa;2007oa;22:13:51.35;-0:55:13.0;0.2587;54385.1
SN19211;SNIa;2007oh;20:52:36.92;-0:27:14.3;0.404;54386.3
SN20038;SNII;2007pg;23:27:49.60;+0:27:26.9;0.1188926;54375.9
SN19220;SNIa?(SP);2007ox;22:46:58.08;-0:4:18.6;0.203;54394.5
SN19222;SNII;2007nl;23:13:44.92;-0:4:3.5;0.1683;54389
SN19230;SNIa;2007mo;22:11:33.84;+0:45:53.2;0.221;54387.6
SN19282;SNIa;2007mk;23:56:17.33;-0:30:21.1;0.177;54395.2
SN19323;SNIb;2007nc;0:1:9.30;+1:4:6.4;0.086736;54393
SN19341;SNIa;2007nf;1:3:26.47;+0:19:53.0;0.228;54391.8
SN19353;SNIa;2007nj;2:52:27.45;+0:15:6.5;0.1540343;54397.7
SN19365;SNIa?(SP);2007os;1:57:38.65;-0:31:19.7;0.369;54383.9
SN19381;SNIa;2007nk;3:20:56.53;+1:3:29.3;0.21;54391.7
SN19389;SNIa?(SP);2007nz;3:25:11.35;-0:6:22.6;0.464;54380.8
SN19425;SNIa;2007ow;21:34:2.09;-0:44:25.9;0.2116;54390.5
SN19504;SNII;;0:54:39.68;-0:25:23.8;0.215;54370.7
SN19543;SNIa;2007oj;23:51:38.00;+0:16:47.4;0.123;54400
SN19550;;;0:1:45.00;+0:19:1.0;0.4609555;54400
SN19596;SNIa;2007po;3:35:32.23;+0:42:12.1;0.292;54391.4
SN19604;SNIa;2007oi;0:21:17.87;+1:4:28.3;0.296;54395.1
SN22182;SNIa;2007sm;21:22:50.57;+0:25:17.9;0.072;54448.3
SN21064;SNII;2007qb;0:59:18.72;-0:56:49.4;0.0792524;54415
SN19616;SNIa;2007ok;2:28:24.27;+0:11:4.8;0.1654854;54402.8
SN19625;SNIa?(SP);2007pn;2:16:33.91;-0:43:20.5;0.312;54393.3
SN19626;SNIa;2007ou;2:23:42.69;-0:49:33.6;0.1132211;54401
SN19632;SNIa;2007ov;2:41:8.76;+0:8:40.0;0.308;54391.8
SN19658;SNIa;2007ot;0:35:36.77;-0:13:57.7;0.2;54399.6
SN19702;SNIa;2007pp;3:11:1.16;+0:21:24.3;0.269;54393.2
SN19757;SNIa;2007oy;23:17:55.45;+1:13:22.2;0.403;54395.1
SN19775;SNIa;2007pc;21:15:49.46;+0:39:4.6;0.1379;54402.9
SN19794;SNIa;2007oz;23:57:16.57;+0:14:57.7;0.2969775;54393.5
SN19818;SNIa;2007pe;2:21:4.01;+0:29:47.1;0.293;54395
SN20044;;;22:20:0.57;+1:7:42.4;0.4799638;54395
SN20048;SNIa;2007pq;22:37:13.94;+0:44:11.0;0.182;54402.7
SN19899;SNIa;2007pu;22:45:58.15;-0:38:55.4;0.0914;54419.5
SN19913;SNIa;2007qf;22:15:3.00;-0:20:28.5;0.207;54398.9
SN19940;SNIa;2007pa;21:1:34.45;-0:16:6.6;0.147;54405.7
SN19953;SNIa;2007pf;22:11:43.32;+0:34:44.7;0.119;54414.6
SN19968;SNIa;2007ol;1:37:23.70;-0:18:43.2;0.056032;54413
SN19969;SNIa;2007pt;2:7:38.51;-0:19:26.4;0.1752423;54402
SN19990;SNIa;2007ps;2:19:13.53;-0:23:5.4;0.246;54400.6
SN19992;SNIa;2007pb;23:48:25.00;-1:11:6.0;0.226;54402.5
SN20051;SNIa;2007pv;21:59:45.15;+1:7:37.0;0.262;54410
SN20064;SNIa;2007om;23:54:20.69;-0:55:3.4;0.1052365;54411.9
SN20084;SNIa;2007pd;23:11:54.07;-0:34:41.1;0.131;54405.7
SN20095;;;21:59:1.71;-0:4:58.2;0.4726417;54405.7
SN20106;SNIa;2007pr;23:6:13.03;+0:19:44.3;0.333;54400.2
SN20111;SNIa;2007pw;23:37:34.65;+0:14:53.2;0.245;54405.1
SN20142;SNIa;2007qg;1:32:1.97;-0:25:47.0;0.316;54408.9
SN20144;SNIa;2007ql;21:29:43.66;+0:26:40.6;0.22;54413.9
SN20153;;;21:57:44.17;+0:53:3.8;0.2675847;54413.9
SN20156;;;22:19:56.75;+0:59:13.5;0.468247;54413.9
SN20184;SNIa;2007qn;23:59:9.24;+1:9:30.0;0.318;54411.9
SN20186;SNIa;2007pj;23:49:10.69;+0:47:52.3;0.354;54408.9
SN20208;SNIa;2007qd;2:9:33.56;-1:0:2.2;0.0431366;54378.8
SN20227;SNIa;2007qi;23:16:28.80;-0:5:54.6;0.284;54402
SN20245;SNIa;2007pi;22:46:49.33;+0:45:22.6;0.302;54409.1
SN20530;SNII;;0:3:40.22;-0:16:50.0;0.0613287;54411
SN20304;;;3:32:11.84;+0:24:31.1;0.5086418;54411
SN20345;SNIa;2007qp;0:42:48.42;+0:22:47.0;0.265;54418
SN20350;SNIa;2007ph;20:51:13.40;-0:57:21.0;0.1293897;54412
SN20364;SNIa;2007qo;1:43:1.59;-0:56:43.7;0.215;54418.9
SN20376;SNIa;2007re;21:17:34.92;-0:31:26.2;0.195;54415.8
SN20381;;;23:31:37.86;-0:31:6.8;0.2778284;54415.8
SN20382;;;0:57:5.33;-0:26:56.4;0.3617078;54415.8
SN20420;SNIa;2007qw;22:35:29.01;+0:28:56.2;0.1506285;54379.4
SN20430;SNIa;2007qj;20:49:40.04;+0:28:7.1;0.164;54413.9
SN20432;SNIa;2007qk;21:3:14.12;+0:27:26.5;0.303;54405.1
SN20458;;;2:27:41.99;+0:28:17.3;0.3841983;54405.1
SN20470;SNIa;2007pz;3:30:25.18;+1:0:34.0;0.125;54417.8
SN20493;;;23:31:35.39;-1:2:37.3;0.4196716;54417.8
SN20528;SNIa;2007qr;2:52:29.23;-1:8:22.3;0.1359566;54414.9
SN20533;SNIa;2007qt;3:29:25.40;-0:38:46.7;0.302;54418.4
SN20575;SNIa;2007rh;21:41:3.77;+0:8:33.2;0.196;54414.9
SN20581;SNIa;2007qm;22:30:48.72;+0:0:38.7;0.207;54415.5
SN20625;SNIa;2007px;0:22:44.01;-0:28:44.4;0.1079639;54422
SN20648;;;22:49:31.32;+0:43:50.9;0.0953427;54422
SN20677;SNIc;2007qx;0:27:41.78;+1:13:59.6;0.0803909;54420
SN20687;SNIa;2007ri;1:6:52.35;+1:9:14.6;0.189;54419.7
SN20764;SNIa;2007ro;1:44:28.99;+0:13:47.2;0.165;54421.8
SN20768;SNIa;2007qq;2:42:30.21;-0:58:16.2;0.235;54413.6
SN20794;;;21:1:21.52;+0:11:27.9;0.6617436;54413.6
SN22284;SNIa;2007sn;22:14:4.42;-0:12:47.5;0.133;54440.7
SN20821;SNIa;2007rk;3:42:17.43;+1:3:47.3;0.195;54408.8
SN20834;SNIa;2007rr;1:1:47.80;-0:41:37.1;0.188;54424.7
SN20838;SNIc;2007qv;22:35:7.91;-1:6:37.6;0.0949723;54416
SN20862;SNIa;2007rn;23:58:1.40;-0:44:15.2;0.26;54422
SN20889;SNIa;2007py;3:29:31.60;+0:30:56.1;0.2093901;54415.5
SN20934;SNIa;2007rm;2:21:45.09;+0:51:52.1;0.302;54422.1
SN20960;;;0:30:5.64;-0:22:37.9;0.2148237;54422.1
SN20978;SNIa;2007rl;2:21:33.07;-0:22:29.8;0.324;54419.9
SN20988;;;23:38:49.80;+0:8:11.1;0.5560949;54419.9
SN21006;SNIa;2007qs;3:11:46.02;+0:5:30.9;0.291;54410.4
SN21033;SNIa;2007qy;1:55:15.28;+0:38:35.2;0.229;54420.9
SN21034;SNIa;2007qa;1:52:33.93;+1:14:38.6;0.1085583;54426.5
SN21042;SNIa;2007qz;21:0:2.78;+0:49:39.3;0.312;54419.9
SN21062;SNIa;2007rp;22:13:43.58;+0:23:46.7;0.147;54423.8
SN21585;;;0:43:21.19;-0:1:55.6;0.5194062;54423.8
SN21362;SNII;2007sd;3:32:0.58;-0:39:42.7;0.083;54425.1
SN21422;SNIa;2007rq;0:53:32.11;+0:54:1.0;0.267;54422
SN21455;SNIa;2007sc;2:15:11.87;+0:32:9.3;0.257;54424.9
SN21502;SNIa;2007ra;23:34:23.95;-0:53:25.2;0.0891632;54427
SN21510;SNIa;2007sh;0:29:24.67;+0:49:53.4;0.1497195;54430.7
SN21570;;;2:30:44.90;+1:12:46.1;0.2661708;54430.7
SN21593;;;2:19:0.58;-0:10:9.9;2.3434191;54430.7
SN21669;SNIa;2007rs;0:46:27.40;-1:3:44.2;0.1240713;54429
SN21807;;;23:9:20.26;+0:45:23.5;0.0323993;54429
SN21810;SNIa;2007se;22:12:37.10;+0:47:48.2;0.175;
SN21814;SNIa;2007sf;22:48:59.11;+1:12:21.9;0.096;54433.6
SN21837;;;22:57:31.06;+0:24:43.1;0.3547977;54433.6
SN21839;SNIa;2007sl;21:13:42.82;-0:50:16.0;0.0938186;54438.5
SN21861;SNIa;2007sg;23:19:26.09;-0:54:5.9;0.188;54432.1
SN22073;SNII;2007sk;1:27:5.25;+1:12:54.5;0.235;54430.8
SN22075;SNIa;2007si;1:59:51.14;+1:12:59.3;0.1299636;54426
SN22168;;;0:58:56.26;-0:42:46.8;0.2648485;54426